hours_study_per_day,past_average_score,absences,parent_education,internet,health,final_score,passed
5,44,0,secondary,yes,2,65,1
5,99,2,master,no,1,100,1
0,41,6,primary,yes,5,39,0
4,83,7,bachelor,no,1,92,1
6,50,13,secondary,no,2,53,1
0,41,12,none,no,3,27,0
4,63,1,bachelor,yes,4,87,1
5,76,18,primary,yes,1,67,1
5,59,9,none,yes,1,56,1
6,76,5,secondary,no,2,93,1
5,64,20,none,yes,5,56,1
3,64,20,master,yes,3,48,0
6,37,7,none,no,4,48,0
4,70,6,bachelor,no,4,83,1
1,63,4,primary,no,5,57,1
2,58,4,master,no,1,60,1
6,36,3,primary,yes,4,54,1
4,89,16,secondary,yes,1,76,1
5,98,8,secondary,yes,3,100,1
5,63,16,primary,yes,3,62,1
6,94,19,primary,yes,3,90,1
6,97,0,master,no,4,100,1
0,44,11,secondary,yes,1,25,0
0,40,15,none,yes,2,20,0
5,90,17,primary,no,5,90,1
1,99,6,secondary,no,3,89,1
3,96,14,none,yes,2,84,1
4,59,18,primary,yes,1,45,0
5,37,7,none,yes,3,48,0
5,92,6,master,yes,5,100,1
4,90,7,bachelor,no,2,100,1
2,84,13,bachelor,yes,1,76,1
0,81,10,none,yes,2,65,1
3,53,8,bachelor,yes,1,58,1
3,100,3,none,yes,1,100,1
1,82,15,bachelor,yes,4,65,1
0,51,12,none,no,3,36,0
2,84,17,bachelor,yes,2,64,1
2,57,1,master,yes,3,74,1
4,97,5,none,yes,2,100,1
0,38,7,bachelor,yes,5,35,0
4,40,13,master,no,3,45,0
1,70,7,secondary,no,2,58,1
2,39,0,bachelor,yes,1,43,0
4,57,16,secondary,yes,3,58,1
2,66,5,bachelor,no,5,64,1
6,97,0,master,no,1,100,1
0,43,17,primary,no,3,14,0
4,56,10,primary,no,5,48,0
6,36,2,bachelor,no,1,54,1
0,72,4,secondary,yes,4,64,1
0,44,2,primary,yes,3,40,0
4,100,4,bachelor,yes,1,100,1
6,35,11,primary,yes,1,49,0
2,82,19,primary,yes,2,69,1
3,33,5,secondary,no,2,33,0
2,50,3,bachelor,yes,4,61,1
3,74,9,primary,yes,1,78,1
5,54,12,secondary,no,1,54,1
5,95,12,master,no,1,94,1
0,63,5,master,no,1,57,1
5,70,13,master,yes,4,80,1
4,54,8,none,no,1,41,0
5,55,11,bachelor,yes,3,61,1
4,70,3,secondary,no,4,78,1
4,46,6,bachelor,no,2,58,1
4,68,12,master,yes,3,69,1
4,71,14,bachelor,no,2,70,1
4,90,5,none,no,5,94,1
0,60,9,primary,yes,2,39,0
0,35,7,bachelor,yes,4,24,0
1,79,15,bachelor,yes,2,66,1
5,30,3,bachelor,yes,2,50,1
3,36,17,primary,yes,4,18,0
1,89,16,master,no,4,66,1
4,84,17,bachelor,yes,4,75,1
3,63,7,secondary,no,2,61,1
2,60,8,secondary,no,5,60,1
0,47,4,primary,no,2,36,0
3,72,17,bachelor,no,1,53,1
1,83,12,master,yes,5,77,1
2,68,12,bachelor,yes,4,64,1
1,64,13,bachelor,yes,4,50,1
3,51,14,primary,yes,4,51,1
4,33,2,bachelor,yes,4,53,1
2,57,14,secondary,no,4,48,0
2,83,8,none,no,1,70,1
2,58,20,none,yes,1,29,0
1,55,0,master,yes,2,67,1
4,57,14,secondary,no,2,54,1
4,44,5,secondary,yes,5,62,1
5,78,12,primary,yes,5,85,1
5,61,3,secondary,yes,5,83,1
3,77,2,master,no,1,79,1
6,83,15,none,no,3,74,1
5,49,13,primary,no,5,44,0
6,98,15,bachelor,no,5,100,1
6,41,8,bachelor,yes,4,68,1
4,78,10,none,no,3,76,1
6,63,10,secondary,no,5,78,1
0,96,6,none,yes,4,79,1
5,90,20,bachelor,no,1,77,1
0,67,7,bachelor,yes,3,58,1
4,97,11,bachelor,no,3,93,1
5,88,8,secondary,no,2,95,1
0,98,5,primary,yes,4,95,1
2,97,19,secondary,yes,2,75,1
2,31,17,primary,no,1,12,0
0,100,9,primary,no,1,85,1
3,91,14,secondary,yes,1,75,1
2,91,3,none,no,4,98,1
0,49,4,master,no,1,44,0
1,45,17,bachelor,yes,5,23,0
2,84,9,master,yes,5,94,1
5,42,6,primary,no,1,48,0
0,50,0,bachelor,no,5,57,1
3,67,1,primary,no,3,73,1
5,59,8,master,yes,4,68,1
0,99,7,primary,no,2,87,1
2,66,14,none,no,3,50,1
5,81,8,master,no,4,94,1
3,71,19,secondary,yes,1,53,1
1,32,8,master,yes,2,19,0
2,53,18,bachelor,no,1,32,0
3,74,13,secondary,no,1,64,1
5,93,9,bachelor,yes,4,100,1
0,70,8,secondary,yes,4,68,1
0,99,14,bachelor,yes,2,72,1
4,76,19,bachelor,no,1,62,1
2,86,15,none,yes,5,80,1
6,60,5,secondary,yes,5,79,1
6,44,14,none,yes,4,49,0
5,67,16,secondary,no,4,67,1
4,48,12,primary,yes,1,42,0
2,83,10,master,no,1,73,1
4,92,4,bachelor,no,3,100,1
2,100,17,bachelor,no,3,93,1
1,79,7,bachelor,yes,3,66,1
5,90,12,bachelor,yes,4,100,1
4,72,3,bachelor,yes,5,90,1
3,31,4,bachelor,yes,1,24,0
2,80,20,none,no,5,60,1
3,70,20,bachelor,yes,5,66,1
2,59,2,bachelor,yes,1,66,1
3,51,9,none,yes,3,49,0
2,85,4,primary,no,5,85,1
5,53,5,primary,yes,5,75,1
1,93,18,primary,yes,4,67,1
5,62,14,secondary,yes,4,71,1
1,39,14,secondary,no,4,18,0
